project_id,Type,Unit,StartPrice,HighPrice,PricePerArea,Province,project_status,BuiltDate
2021,คอนโดมิเนียม,166,2890000,,,กรุงเทพมหานคร,A,2010-12-29T14:54:59.713Z
2030,ทาวน์โฮม,,2890000,,,กรุงเทพมหานคร,U,2010-10-02T00:00:00.000Z
2321,คอนโดมิเนียม,187,2890000,,72250,กรุงเทพมหานคร,A,2011-02-21T17:00:30.000Z
2533,ทาวน์โฮม,,2890000,,,กรุงเทพมหานคร,U,2011-05-12T10:38:27.590Z
2900,คอนโดมิเนียม,64,2890000,,,กรุงเทพมหานคร,U,2011-05-18T18:28:25.373Z
3584,ทาวน์โฮม,120,2890000,,,กรุงเทพมหานคร,U,2012-10-19T10:30:23.537Z
3520,คอนโดมิเนียม,64,2890000,2990000,,กรุงเทพมหานคร,U,2012-08-31T11:39:19.787Z
3674,ทาวน์โฮม,,2890000,,,กรุงเทพมหานคร,U,2013-02-07T13:40:25.710Z
3856,คอนโดมิเนียม,810,2890000,4390000,,กรุงเทพมหานคร,A,2013-06-14T14:51:30.133Z
4097,คอนโดมิเนียม,,2890000,,,กรุงเทพมหานคร,U,2013-08-14T17:18:55.217Z
5207,คอนโดมิเนียม,117,2890000,18000000,87575.76,กรุงเทพมหานคร,A,2014-11-26T09:56:36.683Z
5330,ทาวน์โฮม,203,2890000,,,กรุงเทพมหานคร,A,2015-02-02T15:05:18.280Z
5668,ทาวน์โฮม,415,2890000,,,กรุงเทพมหานคร,A,2015-09-02T11:56:55.823Z
6457,คอนโดมิเนียม,1911,2890000,,113333.33,กรุงเทพมหานคร,A,2016-05-26T11:11:25.030Z
7917,ทาวน์โฮม,70,2890000,,,กรุงเทพมหานคร,U,2016-11-17T09:47:20.457Z
8774,คอนโดมิเนียม,191,2890000,,120016.61,กรุงเทพมหานคร,A,2017-07-19T10:01:08.887Z
8908,ทาวน์โฮม,385,2890000,3490000,,กรุงเทพมหานคร,A,2017-08-25T14:48:24.423Z
9104,ทาวน์โฮม,297,2890000,,,กรุงเทพมหานคร,A,2017-10-17T09:21:16.733Z
9241,ทาวน์โฮม,221,2890000,,,กรุงเทพมหานคร,U,2017-11-27T16:26:17.370Z
8214,บ้านเดี่ยว,,2890000,,,ขอนแก่น,A,2017-01-19T10:49:31.750Z
3862,บ้านเดี่ยว,,2890000,3750000,,ชลบุรี,A,2013-06-20T17:40:21.753Z
3934,ทาวน์โฮม,,2890000,,,ชลบุรี,U,2013-07-09T17:23:31.597Z
5338,โฮมออฟฟิศ,,2890000,,,ชลบุรี,A,2015-02-11T14:50:31.463Z
5566,คอนโดมิเนียม,140,2890000,,,ชลบุรี,A,2015-06-19T09:55:57.467Z
6983,ทาวน์โฮม,21,2890000,,,ชลบุรี,A,2016-10-05T10:51:00.037Z
7384,บ้านเดี่ยว,,2890000,3950000,,ชลบุรี,A,2016-10-20T08:59:00.463Z
7235,บ้านเดี่ยว,34,2890000,3450000,,ชลบุรี,U,2016-10-13T13:39:54.780Z
3519,บ้านเดี่ยว,40,2890000,,,เชียงใหม่,U,2012-08-30T15:57:36.407Z
3419,บ้านเดี่ยว,,2890000,,,เชียงใหม่,A,2012-06-18T15:39:08.223Z
5122,บ้านเดี่ยว,,2890000,3370000,,เชียงใหม่,U,2014-10-16T16:36:22.893Z
4615,บ้านเดี่ยว,151,2890000,5000000,,เชียงใหม่,A,2014-01-22T14:12:48.127Z
7721,บ้านเดี่ยว,,2890000,3290000,,เชียงใหม่,A,2016-11-03T11:17:26.033Z
6707,ทาวน์โฮม,,2890000,,,นครราชสีมา,A,2016-09-22T10:16:23.423Z
6780,บ้านเดี่ยว,74,2890000,,,นครราชสีมา,A,2016-09-26T16:35:12.107Z
8382,บ้านเดี่ยว,,2890000,,,นครราชสีมา,A,2017-03-06T10:42:01.870Z
9282,โฮมออฟฟิศ,44,2890000,,,นครศรีธรรมราช,A,2017-12-12T11:03:06.053Z
1106,ทาวน์โฮม,,2890000,5000000,,นนทบุรี,U,2010-06-28T00:00:00.000Z
3965,บ้านแฝด,,2890000,,,นนทบุรี,A,2013-07-17T16:11:49.273Z
4417,โฮมออฟฟิศ,90,2890000,,,นนทบุรี,A,2013-11-20T14:02:22.903Z
5148,บ้านเดี่ยว,,2890000,,,นนทบุรี,A,2014-11-03T15:31:49.180Z
8399,ทาวน์โฮม,99,2890000,,,นนทบุรี,A,2017-03-08T15:32:10.163Z
8796,ทาวน์โฮม,491,2890000,4790000,,นนทบุรี,A,2017-07-25T16:09:24.650Z
8386,ทาวน์โฮม,274,2890000,,,นนทบุรี,A,2017-03-06T17:08:01.810Z
